,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,NC,North Carolina,Union County,72304,14822,20,7.25,12.25,750,777,838,967,1310,1681,74100,22230,41267,1032,556,377,637,225,31080,33520,38680,52400,67240,14.94,16.12,18.6,25.19,32.33,82,89,103,139,178,49,53,61,82,106
COUNTY,4,NC,North Carolina,Vance County,16653,6682,40,7.25,10.22,750,497,571,683,914,1020,45200,13560,20851,521,339,377,532,225,19880,22840,27320,36560,40800,9.56,10.98,13.13,17.58,19.62,53,61,72,97,108,37,43,51,69,77
COUNTY,4,NC,North Carolina,Wake County,373245,136451,37,7.25,16.47,750,741,893,1026,1327,1656,84300,25290,44100,1103,632,377,856,225,29640,35720,41040,53080,66240,14.25,17.17,19.73,25.52,31.85,79,95,109,141,176,35,42,48,62,77
COUNTY,4,NC,North Carolina,Warren County,7753,2327,30,7.25,7.58,750,436,517,683,988,1144,48700,14610,19957,499,365,377,394,225,17440,20680,27320,39520,45760,8.38,9.94,13.13,19,22,46,55,72,105,121,44,52,69,100,116
COUNTY,4,NC,North Carolina,Washington County,5203,1829,35,7.25,12.27,750,558,562,747,963,1316,46400,13920,20646,516,348,377,638,225,22320,22480,29880,38520,52640,10.73,10.81,14.37,18.52,25.31,59,60,79,102,140,35,35,47,60,83
COUNTY,4,NC,North Carolina,Watauga County,20320,8365,41,7.25,6.5,750,590,705,925,1255,1354,63800,19140,17167,429,479,377,338,225,23600,28200,37000,50200,54160,11.35,13.56,17.79,24.13,26.04,63,75,98,133,144,70,83,110,149,160
COUNTY,4,NC,North Carolina,Wayne County,47013,18963,40,7.25,11.16,750,565,568,756,987,1239,57100,17130,27236,681,428,377,580,225,22600,22720,30240,39480,49560,10.87,10.92,14.54,18.98,23.83,60,60,80,105,131,39,39,52,68,85
COUNTY,4,NC,North Carolina,Wilkes County,27583,6958,25,7.25,9.43,750,544,547,683,914,1111,52700,15810,20149,504,395,377,490,225,21760,21880,27320,36560,44440,10.46,10.52,13.13,17.58,21.37,58,58,72,97,118,44,45,56,75,91
COUNTY,4,NC,North Carolina,Wilson County,31942,12805,40,7.25,12.57,750,645,661,762,1034,1038,54100,16230,25601,640,406,377,654,225,25800,26440,30480,41360,41520,12.4,12.71,14.65,19.88,19.96,68,70,81,110,110,39,40,47,63,63
COUNTY,4,NC,North Carolina,Yadkin County,15287,3617,24,7.25,9.84,750,573,594,738,1002,1220,62500,18750,24684,617,469,377,512,225,22920,23760,29520,40080,48800,11.02,11.42,14.19,19.27,23.46,61,63,78,106,129,45,46,58,78,95
COUNTY,4,NC,North Carolina,Yancey County,7479,1852,25,7.25,7.57,750,535,538,716,966,1132,47800,14340,20243,506,359,377,393,225,21400,21520,28640,38640,45280,10.29,10.35,13.77,18.58,21.77,57,57,76,102,120,54,55,73,98,115
STATE,1,ND,North Dakota,,305163,111254,36,7.25,15.75,750,597,668,855,1213,1427,82523,24757,38748,969,619,377,819,225,23874,26729,34190,48503,57094,11.48,12.85,16.44,23.32,27.45,63,71,91,129,151,29,33,42,59,70
NONMETRO,2,ND,North Dakota,,152792,46747,31,7.25,17.63,750,627,667,851,1194,1331,79261,23778,42773,1069,594,377,917,225,25062,26662,34025,47760,53237,12.05,12.82,16.36,22.96,25.59,66,71,90,127,141,27,29,37,52,58
METRO,3,ND,North Dakota,Bismarck HMFA,50678,15145,30,7.25,14.24,750,657,662,869,1200,1531,96600,28980,40812,1020,725,377,740,225,26280,26480,34760,48000,61240,12.63,12.73,16.71,23.08,29.44,70,70,92,127,162,35,36,47,65,83
METRO,3,ND,North Dakota,Fargo MSA,70841,34162,48,7.25,14.89,750,521,643,810,1178,1411,82000,24600,35912,898,615,377,774,225,20840,25720,32400,47120,56440,10.02,12.37,15.58,22.65,27.13,55,68,86,125,150,27,33,42,61,73
METRO,3,ND,North Dakota,Grand Forks MSA,28991,14444,50,7.25,12.13,750,619,745,966,1383,1685,78100,23430,30421,761,586,377,631,225,24760,29800,38640,55320,67400,11.9,14.33,18.58,26.6,32.4,66,79,102,147,179,39,47,61,88,107
METRO,3,ND,North Dakota,Oliver County HMFA,760,113,15,7.25,30.31,750,654,659,867,1174,1479,79700,23910,53613,1340,598,377,1576,225,26160,26360,34680,46960,59160,12.58,12.67,16.67,22.58,28.44,69,70,92,125,157,17,17,22,30,38
METRO,3,ND,North Dakota,Sioux County HMFA,1101,643,58,7.25,10.37,750,541,555,697,874,1070,39200,11760,32670,817,294,377,539,225,21640,22200,27880,34960,42800,10.4,10.67,13.4,16.81,20.58,57,59,74,93,114,40,41,52,65,79
COUNTY,4,ND,North Dakota,Adams County,1030,254,25,7.25,16.81,750,587,607,697,1014,1228,71400,21420,47715,1193,536,377,874,225,23480,24280,27880,40560,49120,11.29,11.67,13.4,19.5,23.62,62,64,74,108,130,27,28,32,46,56
COUNTY,4,ND,North Dakota,Barnes County,5070,1637,32,7.25,12.47,750,524,527,701,1014,1066,75700,22710,38743,969,568,377,648,225,20960,21080,28040,40560,42640,10.08,10.13,13.48,19.5,20.5,56,56,74,108,113,32,33,43,63,66
COUNTY,4,ND,North Dakota,Benson County,2257,838,37,7.25,11.71,750,587,607,697,977,1067,48300,14490,25843,646,362,377,609,225,23480,24280,27880,39080,42680,11.29,11.67,13.4,18.79,20.52,62,64,74,104,113,39,40,46,64,70
COUNTY,4,ND,North Dakota,Billings County,405,125,31,7.25,14.09,750,576,580,760,1079,1127,93200,27960,59205,1480,699,377,733,225,23040,23200,30400,43160,45080,11.08,11.15,14.62,20.75,21.67,61,62,81,114,120,31,32,41,59,62
COUNTY,4,ND,North Dakota,Bottineau County,3047,750,25,7.25,11.37,750,524,528,697,977,1167,76300,22890,32146,804,572,377,591,225,20960,21120,27880,39080,46680,10.08,10.15,13.4,18.79,22.44,56,56,74,104,124,35,36,47,66,79
COUNTY,4,ND,North Dakota,Bowman County,1404,340,24,7.25,18.07,750,610,620,743,930,1025,89100,26730,54752,1369,668,377,940,225,24400,24800,29720,37200,41000,11.73,11.92,14.29,17.88,19.71,65,66,79,99,109,26,26,32,40,44
COUNTY,4,ND,North Dakota,Burke County,1001,285,28,7.25,14.68,750,576,580,760,1079,1127,88100,26430,43566,1089,661,377,763,225,23040,23200,30400,43160,45080,11.08,11.15,14.62,20.75,21.67,61,62,81,114,120,30,30,40,57,59
COUNTY,4,ND,North Dakota,Burleigh County,38005,11778,31,7.25,14.37,750,657,662,869,1200,1531,96600,28980,41277,1032,725,377,747,225,26280,26480,34760,48000,61240,12.63,12.73,16.71,23.08,29.44,70,70,92,127,162,35,35,47,64,82
COUNTY,4,ND,North Dakota,Cass County,70841,34162,48,7.25,14.89,750,521,643,810,1178,1411,82000,24600,35912,898,615,377,774,225,20840,25720,32400,47120,56440,10.02,12.37,15.58,22.65,27.13,55,68,86,125,150,27,33,42,61,73
COUNTY,4,ND,North Dakota,Cavalier County,1788,307,17,7.25,13.82,750,587,607,697,946,949,86200,25860,46337,1158,647,377,719,225,23480,24280,27880,37840,37960,11.29,11.67,13.4,18.19,18.25,62,64,74,100,101,33,34,39,53,53
COUNTY,4,ND,North Dakota,Dickey County,2192,610,28,7.25,10.73,750,587,602,697,937,1216,70200,21060,34904,873,527,377,558,225,23480,24080,27880,37480,48640,11.29,11.58,13.4,18.02,23.38,62,64,74,99,129,42,43,50,67,87
COUNTY,4,ND,North Dakota,Divide County,1059,199,19,7.25,18.73,750,529,532,697,1014,1033,80400,24120,50278,1257,603,377,974,225,21160,21280,27880,40560,41320,10.17,10.23,13.4,19.5,19.87,56,56,74,108,110,22,22,29,42,42
COUNTY,4,ND,North Dakota,Dunn County,1548,342,22,7.25,29.44,750,962,968,1269,1770,1851,88400,26520,59243,1481,663,377,1531,225,38480,38720,50760,70800,74040,18.5,18.62,24.4,34.04,35.6,102,103,135,188,196,25,25,33,46,48
COUNTY,4,ND,North Dakota,Eddy County,1043,287,28,7.25,10.03,750,587,607,697,1014,1033,68300,20490,34212,855,512,377,522,225,23480,24280,27880,40560,41320,11.29,11.67,13.4,19.5,19.87,62,64,74,108,110,45,47,53,78,79
COUNTY,4,ND,North Dakota,Emmons County,1520,244,16,7.25,8.4,750,587,607,697,1014,1033,59800,17940,22952,574,449,377,437,225,23480,24280,27880,40560,41320,11.29,11.67,13.4,19.5,19.87,62,64,74,108,110,54,56,64,93,95
COUNTY,4,ND,North Dakota,Foster County,1500,436,29,7.25,10.92,750,521,524,697,1014,1089,74400,22320,29510,738,558,377,568,225,20840,20960,27880,40560,43560,10.02,10.08,13.4,19.5,20.94,55,56,74,108,116,37,37,49,71,77
COUNTY,4,ND,North Dakota,Golden Valley County,836,280,33,7.25,16.3,750,730,735,963,1344,1405,73400,22020,32959,824,551,377,847,225,29200,29400,38520,53760,56200,14.04,14.13,18.52,25.85,27.02,77,78,102,143,149,34,35,45,63,66
COUNTY,4,ND,North Dakota,Grand Forks County,28991,14444,50,7.25,12.13,750,619,745,966,1383,1685,78100,23430,30421,761,586,377,631,225,24760,29800,38640,55320,67400,11.9,14.33,18.58,26.6,32.4,66,79,102,147,179,39,47,61,88,107
COUNTY,4,ND,North Dakota,Grant County,1108,179,16,7.25,10.46,750,587,607,697,1014,1033,65200,19560,28812,720,489,377,544,225,23480,24280,27880,40560,41320,11.29,11.67,13.4,19.5,19.87,62,64,74,108,110,43,45,51,75,76
COUNTY,4,ND,North Dakota,Griggs County,1045,303,29,7.25,10.3,750,526,529,697,1014,1080,74100,22230,30178,754,556,377,536,225,21040,21160,27880,40560,43200,10.12,10.17,13.4,19.5,20.77,56,56,74,108,115,39,40,52,76,81
COUNTY,4,ND,North Dakota,Hettinger County,1109,182,16,7.25,12.97,750,587,607,697,1014,1033,66800,20040,34428,861,501,377,674,225,23480,24280,27880,40560,41320,11.29,11.67,13.4,19.5,19.87,62,64,74,108,110,35,36,41,60,61
COUNTY,4,ND,North Dakota,Kidder County,1083,248,23,7.25,12.7,750,587,607,697,966,1033,66800,20040,41071,1027,501,377,660,225,23480,24280,27880,38640,41320,11.29,11.67,13.4,18.58,19.87,62,64,74,102,110,36,37,42,59,63
COUNTY,4,ND,North Dakota,LaMoure County,1810,376,21,7.25,9.94,750,534,537,715,894,1042,69700,20910,31299,782,523,377,517,225,21360,21480,28600,35760,41680,10.27,10.33,13.75,17.19,20.04,57,57,76,95,111,41,42,55,69,81
COUNTY,4,ND,North Dakota,Logan County,878,144,16,7.25,10.12,750,529,532,697,989,1044,71100,21330,38975,974,533,377,526,225,21160,21280,27880,39560,41760,10.17,10.23,13.4,19.02,20.08,56,56,74,105,111,40,40,53,75,79
COUNTY,4,ND,North Dakota,McHenry County,2614,471,18,7.25,12.04,750,587,607,697,988,1033,71200,21360,34176,854,534,377,626,225,23480,24280,27880,39520,41320,11.29,11.67,13.4,19,19.87,62,64,74,105,110,38,39,45,63,66
COUNTY,4,ND,North Dakota,McIntosh County,1303,272,21,7.25,11.13,750,587,591,697,899,969,62700,18810,29126,728,470,377,579,225,23480,23640,27880,35960,38760,11.29,11.37,13.4,17.29,18.63,62,63,74,95,103,41,41,48,62,67
COUNTY,4,ND,North Dakota,McKenzie County,3617,1479,41,7.25,34.07,750,636,640,851,1094,1261,96200,28860,75074,1877,722,377,1771,225,25440,25600,34040,43760,50440,12.23,12.31,16.37,21.04,24.25,67,68,90,116,134,14,14,19,25,28
COUNTY,4,ND,North Dakota,McLean County,4292,880,21,7.25,16.85,750,587,607,697,1014,1215,74400,22320,36446,911,558,377,876,225,23480,24280,27880,40560,48600,11.29,11.67,13.4,19.5,23.37,62,64,74,108,129,27,28,32,46,55
COUNTY,4,ND,North Dakota,Mercer County,3675,633,17,7.25,22.65,750,542,545,725,906,1276,89500,26850,47420,1186,671,377,1178,225,21680,21800,29000,36240,51040,10.42,10.48,13.94,17.42,24.54,58,58,77,96,135,18,19,25,31,43
COUNTY,4,ND,North Dakota,Morton County,12673,3367,27,7.25,13.58,750,657,662,869,1200,1531,96600,28980,39188,980,725,377,706,225,26280,26480,34760,48000,61240,12.63,12.73,16.71,23.08,29.44,70,70,92,127,162,37,37,49,68,87
COUNTY,4,ND,North Dakota,Mountrail County,3161,973,31,7.25,23,750,765,770,1023,1280,1493,82000,24600,48321,1208,615,377,1196,225,30600,30800,40920,51200,59720,14.71,14.81,19.67,24.62,28.71,81,82,109,136,158,26,26,34,43,50
COUNTY,4,ND,North Dakota,Nelson County,1517,367,24,7.25,10.25,750,587,607,697,989,1033,68100,20430,32942,824,511,377,533,225,23480,24280,27880,39560,41320,11.29,11.67,13.4,19.02,19.87,62,64,74,105,110,44,46,52,74,78
COUNTY,4,ND,North Dakota,Oliver County,760,113,15,7.25,30.31,750,654,659,867,1174,1479,79700,23910,53613,1340,598,377,1576,225,26160,26360,34680,46960,59160,12.58,12.67,16.67,22.58,28.44,69,70,92,125,157,17,17,22,30,38
COUNTY,4,ND,North Dakota,Pembina County,3273,770,24,7.25,13.46,750,582,586,697,890,1197,71600,21480,37676,942,537,377,700,225,23280,23440,27880,35600,47880,11.19,11.27,13.4,17.12,23.02,62,62,74,94,127,33,33,40,51,68
COUNTY,4,ND,North Dakota,Pierce County,2032,552,27,7.25,10.66,750,572,576,754,1052,1101,67400,20220,24550,614,506,377,554,225,22880,23040,30160,42080,44040,11,11.08,14.5,20.23,21.17,61,61,80,112,117,41,42,54,76,79
COUNTY,4,ND,North Dakota,Ramsey County,5004,1862,37,7.25,13.72,750,543,546,697,1014,1228,70700,21210,33664,842,530,377,714,225,21720,21840,27880,40560,49120,10.44,10.5,13.4,19.5,23.62,58,58,74,108,130,30,31,39,57,69
COUNTY,4,ND,North Dakota,Ransom County,2350,764,33,7.25,13.47,750,544,547,727,985,1061,72100,21630,44249,1106,541,377,700,225,21760,21880,29080,39400,42440,10.46,10.52,13.98,18.94,20.4,58,58,77,105,113,31,31,42,56,61
COUNTY,4,ND,North Dakota,Renville County,1011,240,24,7.25,13.38,750,529,532,697,1014,1228,86600,25980,43549,1089,650,377,696,225,21160,21280,27880,40560,49120,10.17,10.23,13.4,19.5,23.62,56,56,74,108,130,30,31,40,58,71
COUNTY,4,ND,North Dakota,Richland County,6677,1920,29,7.25,10.54,750,563,566,697,1014,1212,77500,23250,30910,773,581,377,548,225,22520,22640,27880,40560,48480,10.83,10.88,13.4,19.5,23.31,60,60,74,108,129,41,41,51,74,88
COUNTY,4,ND,North Dakota,Rolette County,4786,1537,32,7.25,5.56,750,529,532,697,1001,1033,43600,13080,15344,384,327,377,289,225,21160,21280,27880,40040,41320,10.17,10.23,13.4,19.25,19.87,56,56,74,106,110,73,74,96,138,143
COUNTY,4,ND,North Dakota,Sargent County,1775,464,26,7.25,16.91,750,552,555,697,1014,1033,76900,23070,47420,1186,577,377,880,225,22080,22200,27880,40560,41320,10.62,10.67,13.4,19.5,19.87,59,59,74,108,110,25,25,32,46,47
COUNTY,4,ND,North Dakota,Sheridan County,686,145,21,7.25,7.37,750,576,580,760,1079,1127,57700,17310,27283,682,433,377,383,225,23040,23200,30400,43160,45080,11.08,11.15,14.62,20.75,21.67,61,62,81,114,120,60,61,79,113,118
COUNTY,4,ND,North Dakota,Sioux County,1101,643,58,7.25,10.37,750,541,555,697,874,1070,39200,11760,32670,817,294,377,539,225,21640,22200,27880,34960,42800,10.4,10.67,13.4,16.81,20.58,57,59,74,93,114,40,41,52,65,79
COUNTY,4,ND,North Dakota,Slope County †,306,49,16,7.25,,750,576,580,760,1079,1127,78300,23490,33345,834,587,377,,225,23040,23200,30400,43160,45080,11.08,11.15,14.62,20.75,21.67,61,62,81,114,120,,,,,
COUNTY,4,ND,North Dakota,Stark County,11570,3926,34,7.25,16.87,750,674,678,902,1297,1337,91500,27450,46867,1172,686,377,877,225,26960,27120,36080,51880,53480,12.96,13.04,17.35,24.94,25.71,72,72,96,138,142,31,31,41,59,61
COUNTY,4,ND,North Dakota,Steele County,943,206,22,7.25,17.47,750,576,580,697,1014,1033,72600,21780,44606,1115,545,377,908,225,23040,23200,27880,40560,41320,11.08,11.15,13.4,19.5,19.87,61,62,74,108,110,25,26,31,45,45
COUNTY,4,ND,North Dakota,Stutsman County,9146,3161,35,7.25,11.59,750,551,554,737,970,1016,76500,22950,31711,793,574,377,603,225,22040,22160,29480,38800,40640,10.6,10.65,14.17,18.65,19.54,58,59,78,103,108,37,37,49,64,67
COUNTY,4,ND,North Dakota,Towner County,982,227,23,7.25,7.81,750,521,524,697,989,1033,75900,22770,26283,657,569,377,406,225,20840,20960,27880,39560,41320,10.02,10.08,13.4,19.02,19.87,55,56,74,105,110,51,52,69,97,102
COUNTY,4,ND,North Dakota,Traill County,3310,862,26,7.25,11.5,750,535,538,697,943,1228,80600,24180,31758,794,605,377,598,225,21400,21520,27880,37720,49120,10.29,10.35,13.4,18.13,23.62,57,57,74,100,130,36,36,47,63,82
COUNTY,4,ND,North Dakota,Walsh County,4841,1247,26,7.25,9.58,750,587,607,697,897,1049,65200,19560,27015,675,489,377,498,225,23480,24280,27880,35880,41960,11.29,11.67,13.4,17.25,20.17,62,64,74,95,111,47,49,56,72,84
COUNTY,4,ND,North Dakota,Ward County,26772,10567,39,7.25,16.85,750,711,804,1068,1555,1809,87100,26130,47485,1187,653,377,876,225,28440,32160,42720,62200,72360,13.67,15.46,20.54,29.9,34.79,75,85,113,165,192,32,37,49,71,83
COUNTY,4,ND,North Dakota,Wells County,2026,397,20,7.25,8.46,750,587,594,697,973,1033,66700,20010,26812,670,500,377,440,225,23480,23760,27880,38920,41320,11.29,11.42,13.4,18.71,19.87,62,63,74,103,110,53,54,63,88,94
COUNTY,4,ND,North Dakota,Williams County,12390,4410,36,7.25,26.19,750,704,857,1009,1386,1391,98900,29670,67846,1696,742,377,1362,225,28160,34280,40360,55440,55640,13.54,16.48,19.4,26.65,26.75,75,91,107,147,148,21,25,30,41,41
STATE,1,NE,Nebraska,,741581,251775,34,9,12.57,801,536,639,815,1104,1244,73764,22129,33914,848,553,468,653,240,21425,25578,32580,44145,49774,10.3,12.3,15.66,21.22,23.93,46,55,70,94,106,33,39,50,68,76
NONMETRO,2,NE,Nebraska,,274629,82034,30,9,11.33,801,439,524,675,887,991,64915,19474,33134,828,487,468,589,240,17556,20956,27015,35491,39635,8.44,10.08,12.99,17.06,19.06,38,45,58,76,85,30,36,46,60,67
METRO,3,NE,Nebraska,Hall County HMFA,22572,8718,39,9,11.31,801,491,579,770,1048,1138,59700,17910,32990,825,448,468,588,240,19640,23160,30800,41920,45520,9.44,11.13,14.81,20.15,21.88,42,49,66,90,97,33,39,52,71,77
METRO,3,NE,Nebraska,Hamilton County HMFA,3705,711,19,9,13.55,801,450,530,705,1025,1242,71500,21450,39733,993,536,468,704,240,18000,21200,28200,41000,49680,8.65,10.19,13.56,19.71,23.88,38,45,60,88,106,26,30,40,58,71
METRO,3,NE,Nebraska,Howard County HMFA,2601,577,22,9,7.6,801,417,491,653,886,891,69300,20790,29232,731,520,468,395,240,16680,19640,26120,35440,35640,8.02,9.44,12.56,17.04,17.13,36,42,56,76,76,42,50,66,90,90
METRO,3,NE,Nebraska,Lincoln HMFA,119254,48632,41,9,11.43,801,566,634,830,1186,1423,78400,23520,31341,784,588,468,595,240,22640,25360,33200,47440,56920,10.88,12.19,15.96,22.81,27.37,48,54,71,101,122,38,43,56,80,96
METRO,3,NE,Nebraska,Merrick County HMFA,3311,873,26,9,12.36,801,417,560,653,950,975,63400,19020,35439,886,476,468,643,240,16680,22400,26120,38000,39000,8.02,10.77,12.56,18.27,18.75,36,48,56,81,83,26,35,41,59,61
METRO,3,NE,Nebraska,Omaha-Council Bluffs HMFA,291566,103835,36,9,13.91,801,606,744,927,1248,1377,81600,24480,35667,892,612,468,723,240,24240,29760,37080,49920,55080,11.65,14.31,17.83,24,26.48,52,64,79,107,118,34,41,51,69,76
METRO,3,NE,Nebraska,Saunders County HMFA,7991,1666,21,9,9.79,801,508,583,775,1125,1365,77000,23100,38086,952,578,468,509,240,20320,23320,31000,45000,54600,9.77,11.21,14.9,21.63,26.25,43,50,66,96,117,40,46,61,88,107
METRO,3,NE,Nebraska,Seward County HMFA,6348,1769,28,9,10.42,801,469,551,685,984,1206,77200,23160,35351,884,579,468,542,240,18760,22040,27400,39360,48240,9.02,10.6,13.17,18.92,23.19,40,47,59,84,103,35,41,51,73,89
METRO,3,NE,Nebraska,Sioux City HMFA,9604,2960,31,9,13.11,801,514,606,806,1011,1098,65100,19530,34837,871,488,468,682,240,20560,24240,32240,40440,43920,9.88,11.65,15.5,19.44,21.12,44,52,69,86,94,30,36,47,59,64
COUNTY,4,NE,Nebraska,Adams County,12719,4036,32,9,9.67,801,426,524,653,851,997,70600,21180,28842,721,530,468,503,240,17040,20960,26120,34040,39880,8.19,10.08,12.56,16.37,19.17,36,45,56,73,85,34,42,52,68,79
COUNTY,4,NE,Nebraska,Antelope County,2747,632,23,9,9.41,801,426,569,653,886,889,59300,17790,27153,679,445,468,489,240,17040,22760,26120,35440,35560,8.19,10.94,12.56,17.04,17.1,36,49,56,76,76,35,47,53,72,73
COUNTY,4,NE,Nebraska,Arthur County †,183,69,38,9,,801,526,606,806,1011,1098,55800,16740,29557,739,419,468,,240,21040,24240,32240,40440,43920,10.12,11.65,15.5,19.44,21.12,45,52,69,86,94,,,,,
COUNTY,4,NE,Nebraska,Banner County †,314,106,34,9,,801,426,491,653,828,909,63200,18960,33259,831,474,468,,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,,,,,
COUNTY,4,NE,Nebraska,Blaine County †,251,106,42,9,,801,430,495,658,835,916,54700,16410,52338,1308,410,468,,240,17200,19800,26320,33400,36640,8.27,9.52,12.65,16.06,17.62,37,42,56,71,78,,,,,
COUNTY,4,NE,Nebraska,Boone County,2236,484,22,9,13.26,801,426,569,653,819,889,67000,20100,42223,1056,503,468,690,240,17040,22760,26120,32760,35560,8.19,10.94,12.56,15.75,17.1,36,49,56,70,76,25,33,38,47,52
COUNTY,4,NE,Nebraska,Box Butte County,4722,1451,31,9,9.32,801,426,547,653,834,924,67900,20370,32418,810,509,468,485,240,17040,21880,26120,33360,36960,8.19,10.52,12.56,16.04,17.77,36,47,56,71,79,35,45,54,69,76
COUNTY,4,NE,Nebraska,Boyd County,909,169,19,9,11.6,801,426,504,653,819,1045,58100,17430,36215,905,436,468,603,240,17040,20160,26120,32760,41800,8.19,9.69,12.56,15.75,20.1,36,43,56,70,89,28,33,43,54,69
COUNTY,4,NE,Nebraska,Brown County,1498,410,27,9,11.47,801,460,529,704,883,959,48400,14520,30796,770,363,468,596,240,18400,21160,28160,35320,38360,8.85,10.17,13.54,16.98,18.44,39,45,60,75,82,31,35,47,59,64
COUNTY,4,NE,Nebraska,Buffalo County,18512,6721,36,9,10.74,801,456,545,715,981,1111,75200,22560,32927,823,564,468,559,240,18240,21800,28600,39240,44440,8.77,10.48,13.75,18.87,21.37,39,47,61,84,95,33,39,51,70,80
COUNTY,4,NE,Nebraska,Burt County,2823,657,23,9,10.33,801,437,503,669,839,931,65200,19560,29971,749,489,468,537,240,17480,20120,26760,33560,37240,8.4,9.67,12.87,16.13,17.9,37,43,57,72,80,33,37,50,62,69
COUNTY,4,NE,Nebraska,Butler County,3479,731,21,9,12.44,801,426,491,653,886,889,67000,20100,35356,884,503,468,647,240,17040,19640,26120,35440,35560,8.19,9.44,12.56,17.04,17.1,36,42,56,76,76,26,30,40,55,55
COUNTY,4,NE,Nebraska,Cass County,9706,1777,18,9,10.99,801,606,744,927,1248,1377,81600,24480,41710,1043,612,468,571,240,24240,29760,37080,49920,55080,11.65,14.31,17.83,24,26.48,52,64,79,107,118,42,52,65,87,96
COUNTY,4,NE,Nebraska,Cedar County,3571,702,20,9,10.56,801,426,491,653,904,949,70900,21270,36637,916,532,468,549,240,17040,19640,26120,36160,37960,8.19,9.44,12.56,17.38,18.25,36,42,56,77,81,31,36,48,66,69
COUNTY,4,NE,Nebraska,Chase County,1693,354,21,9,10.34,801,426,491,653,819,909,63500,19050,33129,828,476,468,538,240,17040,19640,26120,32760,36360,8.19,9.44,12.56,15.75,17.48,36,42,56,70,78,32,37,49,61,68
COUNTY,4,NE,Nebraska,Cherry County,2691,1025,38,9,8.09,801,426,521,653,878,909,64600,19380,33878,847,485,468,421,240,17040,20840,26120,35120,36360,8.19,10.02,12.56,16.88,17.48,36,45,56,75,78,40,50,62,83,86
COUNTY,4,NE,Nebraska,Cheyenne County,4462,1362,31,9,16.23,801,426,559,653,886,889,75300,22590,34583,865,565,468,844,240,17040,22360,26120,35440,35560,8.19,10.75,12.56,17.04,17.1,36,48,56,76,76,20,26,31,42,42
COUNTY,4,NE,Nebraska,Clay County,2600,606,23,9,12.59,801,426,569,653,819,956,64800,19440,34068,852,486,468,655,240,17040,22760,26120,32760,38240,8.19,10.94,12.56,15.75,18.38,36,49,56,70,82,26,35,40,50,58
COUNTY,4,NE,Nebraska,Colfax County,3659,1012,28,9,13.77,801,426,528,653,846,889,64200,19260,35525,888,482,468,716,240,17040,21120,26120,33840,35560,8.19,10.15,12.56,16.27,17.1,36,45,56,72,76,24,30,36,47,50
COUNTY,4,NE,Nebraska,Cuming County,3783,1189,31,9,11.81,801,426,506,653,819,935,65900,19770,31605,790,494,468,614,240,17040,20240,26120,32760,37400,8.19,9.73,12.56,15.75,17.98,36,43,56,70,80,28,33,43,53,61
COUNTY,4,NE,Nebraska,Custer County,4781,1340,28,9,12.33,801,426,491,653,819,889,59100,17730,33598,840,443,468,641,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,27,31,41,51,55
COUNTY,4,NE,Nebraska,Dakota County,7314,2432,33,9,13.43,801,514,606,806,1011,1098,65100,19530,35642,891,488,468,699,240,20560,24240,32240,40440,43920,9.88,11.65,15.5,19.44,21.12,44,52,69,86,94,29,35,46,58,63
COUNTY,4,NE,Nebraska,Dawes County,3676,1407,38,9,8.93,801,436,502,668,838,930,63500,19050,28593,715,476,468,464,240,17440,20080,26720,33520,37200,8.38,9.65,12.85,16.12,17.88,37,43,57,72,79,38,43,58,72,80
COUNTY,4,NE,Nebraska,Dawson County,8791,2865,33,9,11.07,801,428,528,656,836,998,58800,17640,33555,839,441,468,576,240,17120,21120,26240,33440,39920,8.23,10.15,12.62,16.08,19.19,37,45,56,71,85,30,37,46,58,69
